time,user,place,text
Sat Jan 01 18:22:58 +0000 2022,BbBubbz,"Paradise, NV",@PowderdT04stMan Hell yes!
Sat Jan 01 18:22:58 +0000 2022,dirtygutters,"Lincoln, NE",Starting off 2022 with a spicy Chick Fila meal and milkshake; LARGE.
Sat Jan 01 18:22:58 +0000 2022,marviemarv__,"North Lauderdale, FL",You don\xe2\x80\x99t double elite passers
Sat Jan 01 18:22:58 +0000 2022,TetashowHype,"Le Mesnil-Amelot, France",@archeohistories ifood existed since those days
Sat Jan 01 18:22:58 +0000 2022,SamForgan,"Louisiana, USA",@dpwithers11 @EliteUniversal1 @TheOpen @cobragolfuk @pumagolfuk @felixstoweferry Happy New Year Dave \xf0\x9f\xa5\xb3. Hope to see more of you in 2022
Sat Jan 01 18:22:57 +0000 2022,RakhejaAkanksha,"Rajpura, India",Kala kumbh work in progress\n#kalakumbh\n#rdc\n#rdc2022\n#dgncc\n#AzadiKaAmritMahotsav\n#Chitakara\n@Chitkara_Online @ChitkaraU\n#ministry_of_education\n#MinistryOfCulture\n#MinistryOfDefence\n@MinOfCultureGoI\n@narendramodi\n@MinistryOfDefence\n@ngma_delhi \n@HQ_DG_NCC https://t.co/JcvofC45Qt
Sat Jan 01 18:22:58 +0000 2022,lizarevell,"Al Dakhiliyah, Oman","@downindixie Oh bless him, no ears or tail?"
Sat Jan 01 18:22:58 +0000 2022,bsmitherealbob1,"Delaware, USA",@seanhannity DeSantis needs to deport Aoc for spreading https://t.co/KZZ2DzPQSC Florida .was that her boyfriend or just a another  john ??? with big money
Sat Jan 01 18:22:58 +0000 2022,BigAl_1424,"Mazarrón, Spain",Haha brilliant \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 #MCFC https://t.co/i9rLOJdZfl
Sat Jan 01 18:22:59 +0000 2022,KaroleDoucette,"Nanaimo F, British Columbia","Wishing you a happy, healthy and CREATIVE 2022 \xe2\x9d\xa4 @ Red Boat Studio https://t.co/pgX5DuFsdx"
Sat Jan 01 18:22:59 +0000 2022,DriabH,"Arlington, TX",IMA SUPERSTAR I CANT SEE MYSELF ARGUING WIT NO BROKE NIGGAS #2022 #DriaB #SLOPPYTOCOPY
Sat Jan 01 18:22:59 +0000 2022,EdenoneSF,"San Francisco, CA",@ego_biggest Plant is living it up in Paris after payday
Sat Jan 01 18:22:59 +0000 2022,SafiKhanMagical,"Punjab, Pakistan",@BeenishSaleem MashahAllah Sa adorable look great lady keep shining for betterment of #Pakistan
Sat Jan 01 18:22:59 +0000 2022,shanibomberry,"Brant, Ontario",This part had me tearing up ffs
Sat Jan 01 18:22:59 +0000 2022,RonLoxton,"Cambridge, Ontario",Thanks. Got an appointment. :)
Sat Jan 01 18:22:59 +0000 2022,IAmDavidJTaylor,"Omaha, NE",Watching Dirty Dancing (1987) for the first time and I truly think Patrick Swayze could\xe2\x80\x99ve wielded Mjolnir.
Sat Jan 01 18:22:59 +0000 2022,vlee317,"San Francisco, CA","I'm at Inner Richmond in San Francisco, CA https://t.co/KnBn4dqRqF"
Sat Jan 01 18:22:59 +0000 2022,LindaRiyadh1,"الرياض, المملكة العربية السعودية",Massage in Riyadh \xf0\x9f\x8e\x81\xf0\x9f\x8e\x81\xf0\x9f\x8e\x81\xf0\x9f\x8e\x81\nBody ang body\xe2\x99\x80\xf0\x9f\x92\x86\xf0\x9f\x8e\x81\xf0\x9f\x8e\x81\xf0\x9f\x8e\x81\xf0\x9f\x8e\x81\nhttps://t.co/ZjKW4bPkkM\n#Riyadh\n\n\xe2\x99\x80\xf0\x9f\x92\x86\xf0\x9f\x8e\x81\xf0\x9f\x8e\x81#\xd8\xa7\xd9\x84\xd9\x86\xd8\xb5\xd8\xb1_\xd8\xa7\xd9\x84\xd9\x81\xd8\xaa\xd8\xad https://t.co/fv2ROejbN9
Sat Jan 01 18:22:59 +0000 2022,iam__gq,"Cleveland, OH",No New Years Resolution Ain\xe2\x80\x99t Changing Nothing Or On Nobody If You Don\xe2\x80\x99t See Me I\xe2\x80\x99m Jus Grinding\xf0\x9f\xa4\xa9\xf0\x9f\x8f\x8b\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x92\xb0\xf0\x9f\x94\x8c\xe2\x80\x9d.. @ Downtown Cleveland https://t.co/BwuDd8ur8I
Sat Jan 01 18:23:00 +0000 2022,ultabeautyjobs,"Kennett Square, PA",Our offer is still valid! It is not too late to join the Ulta Beauty team this #holiday season! We are still hiring associates to join us in #celebrating the holiday with fellow beauty loving enthusiasts! Click here to apply: https://t.co/GwoxuYTAxa
Sat Jan 01 18:23:00 +0000 2022,CowDemon,"Fort Lee, NJ",@MoonMonkeyIsle Hope she got nips like dinner plates then
Sat Jan 01 18:23:00 +0000 2022,PoopScoopSF,"Castro, San Francisco","""Human excrement on sidewalk in front of house"" (Castro, D8) https://t.co/RJh9L6jqox https://t.co/Y3T2Fk8anw"
Sat Jan 01 18:23:00 +0000 2022,julianamizenko_,"Pennsylvania, USA",last night did me dirty but I\xe2\x80\x99m here for it \xe2\x9c\xa8
Sat Jan 01 18:23:00 +0000 2022,Gary_Hargreaves,"Broadview Heights, OH",@Bird4LIFE17 Looks great T Ross. Which @Davidoff_Cigars is it ?
Sat Jan 01 18:23:00 +0000 2022,madhi19,"Québec, Canada",The NHL insisting on that game being played in front of 1/3 of a full arena is ridiculous. #Habs
Sat Jan 01 18:23:00 +0000 2022,scrapa2020,La Pleasure Beach,What do you call a sexy woman you meet at the beach ? \xf0\x9f\x8f\x96 https://t.co/XHtTbIwK9i
Sat Jan 01 18:23:00 +0000 2022,Ageela76,Maldives,It's Inadina Ask\n#CanYaman\nCan't stop watching his series as they are very real to me. \nHis character portrayal were top notch. \nI love every series of him. https://t.co/0WXxl4TXcb
Sat Jan 01 18:23:00 +0000 2022,PedroPa00032697,"Albufeira, Portugal",Cycling around Portugal #cycling #portugal #albufeira #armacaodepera #bicicleta #velo #cyclinglife #cyclinglover #touring #Travelers #Travel #travelphotography https://t.co/pQMJJCwG1M
Sat Jan 01 18:23:01 +0000 2022,KemalSBeganovic,Bosnia and Herzegovina,Happy new year my friends by Zimma!\xf0\x9f\xa5\xb3\xf0\x9f\xa6\xae https://t.co/YfghkpvPz1
Sat Jan 01 18:23:00 +0000 2022,est_muyunda,"Lusaka, Zambia",* thank you for your consideration. And my purchase. https://t.co/yJideZy6dY
Sat Jan 01 18:23:01 +0000 2022,Miss_Allison_D,"Markham, Ontario",@JoJosMom81 @mike75133117 @losinghopein Sorry to hear.\nWe had a health scare with our senior cat last week and just the thought of losing him sent me in a downward spiral but he\xe2\x80\x99s better now\xe2\x80\xa6for now anyway
Sat Jan 01 18:23:01 +0000 2022,davdoLeJax,"Florida, USA",@krystalball @mtaibbi @ChrisLynnHedges (can one of you have this writer on your show?) Why Don\xe2\x80\x99t Societies See Their Own Collapse Coming? by @umairh https://t.co/JOMrjKN77a
Sat Jan 01 18:23:01 +0000 2022,PuckingOff,"Boston, MA",#LetsGoBuffalo on the board first. Vinny Hinostroza @ 6:33 #BUFvsBOS #NHLBruins looking lackluster https://t.co/Od2Zl0zcyB
Sat Jan 01 18:23:02 +0000 2022,PartyDigest,Sola South Lux Apartments,Merry 2022 Everyone! https://t.co/UjYxBymTl2
Sat Jan 01 18:23:02 +0000 2022,____tiaaaaaa,"Charlotte, NC",@OG____Crissy This nigga got a good show \xf0\x9f\x98\x82\xf0\x9f\x98\x82
Sat Jan 01 18:23:02 +0000 2022,G_lewnit,"Paw Paw, MI",Blessed to announce I am officially an Island Boi
Sat Jan 01 18:23:02 +0000 2022,drewviken,"Eastmont, WA",can\xe2\x80\x99t deny it
Sat Jan 01 18:23:02 +0000 2022,Azel100x,"Beylikdüzü, İstanbul",@DezicakesNFT Buy THE DIP!!! #shinja\n#SHINJAISTHENEXT1000X\n43K HOLDERS\xf0\x9f\xa5\xb7\xf0\x9f\x9a\x80\xf0\x9f\xa5\xb7\xf0\x9f\x9a\x80\xf0\x9f\x94\xa5\n(50K.2sekstlyonWILL BE BURNED)\n#Shibnobi\n#Metamask\n#Uniswapv2\n#Binance\n#shiba\n#BNB\n#BTC\n#CoinMarketCap\n#CoinGecko\n#Ethereum\n#ETH\n#BabyDoge\n#metavarse\nContract Address\n0xab167e816e4d76089119900e941befdfa37d6b32 https://t.co/g1bDpzIhc8
Sat Jan 01 18:23:02 +0000 2022,SteveMDownes,"Salt Lake City, UT",@MattWeiner19 Congrats Matt!\nAnd Happy New Year!
Sat Jan 01 18:23:02 +0000 2022,pdxpolicelog,"Portland, OR","THEFT - COLD at 3100 NE 32ND PL, PORT [Portland Police #PP22000000283] 09:22 #pdx911"
Sat Jan 01 18:23:02 +0000 2022,MabenMaroon,"Mississippi, USA",@FMBus4 Should I pin this for aging purposes?
Sat Jan 01 18:23:02 +0000 2022,SkateVirus,"San Jose, CA",HNY!! We will be open at 12pm today\xf0\x9f\x91\x8d\n.\n#skatevirusskateshop \n#hny2022\n#skatevirus\n#sanjose\n#skateshop\n#tullyroad @ Skatevirus https://t.co/pnO4UC9oDl
Sat Jan 01 18:23:02 +0000 2022,mrhicksta,Sea ‘N Air  Golf Course,"First round of #2022NewYear , last round until August \xf0\x9f\x8f\x8c\xf0\x9f\x8f\xbe\xf0\x9f\x92\xa5\xe2\x9b\xb3\xef\xb8\x8f #golflife #golf https://t.co/JjVSbNHrV4"
Sat Jan 01 18:23:03 +0000 2022,_96Fatima,"Abu Dhabi, United Arab Emirates",@yourfavnook I am not ok
Sat Jan 01 18:23:03 +0000 2022,RichHomieCorn,"Lely Resort, FL",@KendrickOverYe @ItsLeague @imsleepingbitch @21savage Seriously \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 Get off buddy dick
Sat Jan 01 18:23:03 +0000 2022,peysoxskb,"Raleigh, NC",Brought the New Years in wit the Family #Priceless
Sat Jan 01 18:23:03 +0000 2022,Yoshi_1925,"Merrillville, IN",My mom was slumped watching it yesterday \xf0\x9f\x98\x82 https://t.co/7DSf9STQOY
Sat Jan 01 18:23:03 +0000 2022,Keystone80435,"Chicago, IL",@RichSimmonsNFT @richsimmonsart I can\xe2\x80\x99t wait to get one of these
Sat Jan 01 18:23:03 +0000 2022,Olang_Moses,"Nyanza, Kenya",Sorry stay \xf0\x9f\x92\xaa
Sat Jan 01 18:23:03 +0000 2022,DaddyBearJP,"Independence, MO",@calwhoisit We should fuck this year! \xf0\x9f\x98\x88\xf0\x9f\xa5\xb5 Daddy needs to breed.
Sat Jan 01 18:23:03 +0000 2022,joseluisatletim,"Salamanca, España",\xf0\x9f\x95\xa6 45' | Descanso:\n\n@CPFC 0\xef\xb8\x8f\xe2\x83\xa3\n\xf0\x9f\x86\x9a\n@WestHam 3\xef\xb8\x8f\xe2\x83\xa3\n\n#PremierLeagueDAZN
Sat Jan 01 18:23:03 +0000 2022,DavidMBresnahan,"Tooele, UT",@donie @Andy @andersoncooper Happy new year to you Donie. Thanks for all you do.
Sat Jan 01 18:23:03 +0000 2022,BenjaminJurkovi,"West Lake Stevens, WA",@Michael_34_18 It\xe2\x80\x99s awesome to see so much green in the valley
Sat Jan 01 18:23:03 +0000 2022,PedroRiveraTV,"Los Angeles, CA",Go Penn State #OutbackBowl
Sat Jan 01 18:23:03 +0000 2022,low_weez,"Toluca, México",Its the first of the month. https://t.co/yI7lQzUgD8
Sat Jan 01 18:23:03 +0000 2022,HiPeople_21,"Nebraska, USA",Press Review / North Korea's Kim Jong Un focuses on economic challenges in New Year's speech - The Washington Post https://t.co/IgGmTJnFOu SignUp HiPeople https://t.co/hJOPuwsh52
Sat Jan 01 18:23:04 +0000 2022,manualejglezcca,"Lawrence, IN",First New Years at home and not a bad one
Sat Jan 01 18:23:04 +0000 2022,AshabaEmmanuelG,"Wakiso, Uganda",@mr___honey You refused to follow back on this new account konka Yesu
Sat Jan 01 18:23:04 +0000 2022,bdevore,"Colorado, USA","@KHeydrick Happy new year, Ken!"
Sat Jan 01 18:23:04 +0000 2022,ShyMartin,"Boston, MA",@bibleverses_kjv God Speed \xf0\x9f\x92\xa5 \xe2\x9d\xa4 \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe
Sat Jan 01 18:23:04 +0000 2022,kingjustin1996,"Laurel, MS",FiRsT rEspOndErs
Sat Jan 01 18:23:04 +0000 2022,kim50cb,"Cape Breton, Nova Scotia",@beetallica Amazing! I worked as a nurse late 80s early 90s - AIDS was devastating. My 34 year old patient was spending days trying to find a funeral home in CB to take his body so he could be buried at home. He was cremated in Hfx but ashes brought home. \xe2\x9d\xa4\xef\xb8\x8f
Sat Jan 01 18:23:04 +0000 2022,iam_mzharris_21,"Cleveland, OH",Man what a dude blocked me because I wouldn\xe2\x80\x99t let him come spend the night. \xf0\x9f\x98\x82\xf0\x9f\x98\x82 nigga I have a daughter get tf on to hell.
Sat Jan 01 18:23:04 +0000 2022,everylotla,"Los Angeles, CA",12253 Valleyheart Drive https://t.co/lSB42OVPyS
Sat Jan 01 18:23:04 +0000 2022,urbangaygriot,"Boston, MA",About me https://t.co/keggGfnLCT
Sat Jan 01 18:23:04 +0000 2022,sava_laur,"Brooklyn, NY",Some fave photos from 2021 https://t.co/iSaLG9C8zz
Sat Jan 01 18:23:05 +0000 2022,Anterreon,"Bartlett, TN",We just keep pushing the bar \xf0\x9f\x8e\xaf
Sat Jan 01 18:23:05 +0000 2022,HiPeople_21,"Nebraska, USA","Press Review / 2,162 cases since Thursday: COVID-19 surge hits new highs in Douglas County - KETV Omaha https://t.co/r1PWmqFF4x SignUp HiPeople https://t.co/7C6krCervt"
Sat Jan 01 18:23:05 +0000 2022,beastlegend69,"Hoboken, NJ",Kick rocks Deblasio! Or should I say Warren Wilhelm Jr. ! Congrats to the new Mayor Mr. and Mrs. Andrew Yang!!!! @AndrewYang      #citycomingback #yanggang
Sat Jan 01 18:23:05 +0000 2022,AsimKoraj,Bosna i Hercegovina,And Alien Isolation...
Sat Jan 01 18:23:05 +0000 2022,alfaz_nexuz_19,"Egmore Nungambakkam, India",@OfficialFPL Thanks for the assist \xf0\x9f\x98\x98
Sat Jan 01 18:23:05 +0000 2022,EastwoodSports,"El Paso, TX",Amaya \xf0\x9f\x92\x99\xf0\x9f\x92\x9b \nGreat to see it! \nCongratulations\xe2\x80\xbc\n\n#TrooperClap\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc
Sat Jan 01 18:23:05 +0000 2022,MosesTh47861878,Cyprus,@allbygrace_ The words of the Lord\n#Amen
Sat Jan 01 18:23:05 +0000 2022,ky_smith,"Indiana, USA",Happy New Year. Let\xe2\x80\x99s do some work. #2022 https://t.co/LNs4OD6XKw
Sat Jan 01 18:23:05 +0000 2022,cmilessports,"Agoura Hills, CA",@Jason_Green22 @Arsenal @ManCity Raging w/ jealousy! Glad you got to the Emirates\xe2\x80\xa6#Arsenal
Sat Jan 01 18:23:06 +0000 2022,dryyler,"Anaheim, CA",My friends some bogus ass people
Sat Jan 01 18:23:06 +0000 2022,ssegurah,"Dallas, TX",#ReturnToHogwarts  was absolutely beautiful \xf0\x9f\x98\xad
Sat Jan 01 18:23:06 +0000 2022,jnafziger,"St Charles, MO",Drinking a Longest Year Ever by @ThirdWheelBrew at @thirdwheelbrew \xe2\x80\x94 https://t.co/UyDPTxfvPO
Sat Jan 01 18:23:06 +0000 2022,MaenTeacher,"Frederick, MD",@lutzfernandez @PearDeck My teammates seemed indifferent about addressing current events during class time: one was even adament about NOT discussing insurrection w/Ss (keep things consistent). I found that Ss gained stronger trust for me &amp; classmates after respectful discourse.
Sat Jan 01 18:23:06 +0000 2022,NJFrandino,"Boulder, CO","@AmyHwang03 Hi Amy, do you know who is organizing this? And where they plan on walking/searching?"
Sat Jan 01 18:23:06 +0000 2022,Pijushkuhu,"Daman, India",@renukash happy new year super couple
Sat Jan 01 18:23:06 +0000 2022,dianesbaker1,"Vancouver, British Columbia","Ginni is a funder of 01/06/2021. She was a planner too, dating back to when she tried to dismiss disloyals in the WH. The Committee is identifying  planners, layer #2. FBI knows who the Funders are. Layer #1."
Sat Jan 01 18:23:06 +0000 2022,lispiesqhotmail,"Huntington Beach, CA",.\n.\n\nironic face\n\nOf Deep Disappointment\n\nAnger\n\n&amp; \n\nStubborn refusal to read\n..\n\n.\n.
Sat Jan 01 18:23:06 +0000 2022,kanjanvinod,"Maharashtra, India","@MORTHIndia @NHAI_Official @nitin_gadkari , if staff is absent on toll on very first day of #2022NewYear ,how nation will progess, what is use of #fastag , if staff is must for lane operation on toll gates at national highway, see pics yourselves https://t.co/cZbJ14J8MG"
Sat Jan 01 18:23:06 +0000 2022,layers_kw,"Al Sharq, Kuwait",Just posted a photo @ LAYERS_kw https://t.co/olU7yqS6dN
Sat Jan 01 18:23:06 +0000 2022,dramaandme,"Atlanta, GA",@chancetherapper is one of the greatest artist you\xe2\x80\x99ll ever see in this lifetime and I hope y\xe2\x80\x99all wake up and realize that.
Sat Jan 01 18:23:06 +0000 2022,TheHotBrown,"St Matthews, KY",2K making the same shitty game every single year https://t.co/4FdejCJZ42
Sat Jan 01 18:23:07 +0000 2022,DCGoldPants,"Louisville, KY",@wfteamjordan @DCsportsXP Nope
Sat Jan 01 18:23:07 +0000 2022,ShanMarie19,"Georgia, USA","@redlightwright @CrossfireEagles We\xe2\x80\x99ve never given them to the dogs. Sister has a dog with a sensitive tummy &amp; we have to be careful. But, since they\xe2\x80\x99re gone for awhile, I thought she could try them."
Sat Jan 01 18:23:07 +0000 2022,Nograyarea2,"Sappington, MO",@sempereadum Thanks for the like \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc
Sat Jan 01 18:23:07 +0000 2022,GhHammers,"Accra, Ghana",First half done! We head to the break with 3 goals advantage and a lot more to protect in the next 45mins \n\n#CRYWHU | @premierleague \n\nCome on lads a derby to conquer and start the year 2022 well
Sat Jan 01 18:23:07 +0000 2022,ptac81,"Athens, GA","@SanjidaaIslam @olusola_anyanwu Sometimes sassy, sometimes sad but always shameless: https://t.co/KBjtnrENqm #writerslift #poetrycommunity #mentalhealth"
Sat Jan 01 18:23:07 +0000 2022,Aura_Lopez4,"Iquitos, Peru",@joseeevs Alaushito mi gor\xf0\x9f\xa5\xba
Sat Jan 01 18:23:07 +0000 2022,raydowd,"Westhampton Beach, NY",Fraud alert! Why does SBA say my Congressman @RepLeeZeldin's wife got $20k in PPP$$ &amp; was it fraud? https://t.co/TCiP02qvEE #zeldingate @jewkidsotb @mjrdude @Moseedoates @abt41253 @AnthonyPortesy @WillFerraroCBDC @MyLastRawNerve @ForRfb @cantstopever1 @jojoptyoga @BrockWolf6
Sat Jan 01 18:23:07 +0000 2022,HiPeople_21,"Nebraska, USA","Press Review / List of districts canceling, delaying school Monday for COVID testing grows - Boston 25 News https://t.co/I2YjXMWnI8 SignUp HiPeople https://t.co/c06tdZCul7"
Sat Jan 01 18:23:07 +0000 2022,AllyAck,"Massachusetts, USA",Happy New Year!  #todayonnantucket #nantucketismyhappyplace #bronco @fordbronco #bronconation #greatpoint #lighthouse #2022 #nantucket #nantucketlife #islandliving @ Great Point Light https://t.co/KNN5D6Lgef
Sat Jan 01 18:23:08 +0000 2022,acmtix,"South West, England","@tprstly When you say gym is it like David Lloyd, a sauna and a dressing gown type of thing?"
Sat Jan 01 18:23:08 +0000 2022,travantidagreat,"Sunrise Manor, NV",@shmoodnasty I have 2 try this
Sat Jan 01 18:23:08 +0000 2022,animazze,"Langkawi, Kedah",It hit different when you eat in the cup in the middle of the night in an island. Maggi cup as the saviour. https://t.co/n6OBtXTM04
Sat Jan 01 18:23:08 +0000 2022,CtzCow,"Eagan, MN",@ShmoF16 @pptsapper Great city! was handy to have my Frankophone daughter along.
Sat Jan 01 18:23:08 +0000 2022,HannaBananaGael,"Dubai, United Arab Emirates",oppa pls don't die \xf0\x9f\x98\xad\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb
Sat Jan 01 18:23:08 +0000 2022,Kroook9,"Sunrise Manor, NV",@xstine22 @FieldYates @NextGenStats @chargers Imagine if we kept him\xf0\x9f\xa5\xba
Sat Jan 01 18:23:08 +0000 2022,TCB_TheAdvocate,"Baton Rouge, LA",Any ideas where I could get a COVID test today in Baton Rouge or pick up home testing kits?
Sat Jan 01 18:23:08 +0000 2022,LansingBPcareer,"Kentucky, USA","Interested in a job in #Lexington, KY? This could be a great fit: https://t.co/U2pSp8X6Jq #Transportation"
Sat Jan 01 18:23:08 +0000 2022,amarkinthailand,"High Point, NC",Great thread on masks. Helpful to educate yourself and others!
Sat Jan 01 18:23:08 +0000 2022,OnlyPhanatics,"Pennsylvania, USA",@iamjessallen Cook more at home and spend less on takeout
Sat Jan 01 18:23:09 +0000 2022,MsClareMBaker,"South West, England",@craigmiles1980 @Darrenold77 Being* oh for an edit button \xf0\x9f\x98\x82
Sat Jan 01 18:23:08 +0000 2022,GloUpElite,"Texas, USA",@kyonzilllla You literally twist it off at the circle behind the head and twist the new one on. Something like one-off these will be fine. https://t.co/m9LZTI5pbD
